ID,Level,Title,Definition,Reviewer Feedback
1.1.5,Branch,Chemistry and Physics Principles,"Gas laws, fluid dynamics, electrical principles, solubility, diffusion, and physical chemistry underlying anesthesia machine function, drug delivery, and physiologic monitoring.",
1.1.5-1,Topic Domain,Gas Laws and Behavior,"Boyle's, Charles's, Dalton's, and Henry's laws as applied to anesthesia.",
1.1.5-2,Topic Domain,Vaporizer Physics and Vapor Pressure,"Saturated vapor pressure, vaporizer design principles, temperature compensation, and altitude effects.",
1.1.5-3,Topic Domain,Fluid Dynamics and Flow Principles,"Laminar and turbulent flow, Poiseuille's law, Bernoulli principle, and flow through orifices.",
1.1.5-4,Topic Domain,Solubility Diffusion and Membrane Transport,"Blood-gas solubility coefficients, Fick's law of diffusion, and membrane permeability.",
1.1.5-5,Topic Domain,Electrical Principles and Safety,"Ohm's law, capacitance, grounding, microshock and macroshock hazards, and electrical safety in the OR.",
1.1.5-6,Topic Domain,Pressure Measurement and Transduction,"Principles of pressure measurement, transducer function, natural frequency, damping, and zeroing.",
1.2,Sub-Pillar,Clinical Equipment Monitoring and Technology,"The clinical application, operation, and interpretation of anesthesia delivery systems, patient monitoring devices, airway equipment, and point-of-care technology at the bedside.",
1.2.1,Branch,Anesthesia Delivery Systems,"Clinical operation, function checking, and troubleshooting of anesthesia machines, vaporizers, breathing circuits, and mechanical ventilators.",
1.2.1-1,Topic Domain,Anesthesia Machine Components and Function,"Gas supply systems, flowmeters, pressure regulators, fail-safe mechanisms, and integrated workstation components.",
1.2.1-2,Topic Domain,Breathing Circuits and Gas Delivery,"Circle system design, carbon dioxide absorption, Mapleson circuits, and fresh gas flow requirements.",
1.2.1-3,Topic Domain,Vaporizer Operation and Clinical Use,"Variable bypass and measured flow vaporizer operation, filling procedures, agent-specific considerations, and troubleshooting.",
1.2.1-4,Topic Domain,Mechanical Ventilation Modes and Settings,"Volume-controlled, pressure-controlled, and pressure-support ventilation modes available on anesthesia machines.",
1.2.1-5,Topic Domain,Machine Checkout and Safety Systems,"Pre-use checkout procedures, automated self-tests, leak testing, and verification of backup systems.",
1.2.1-6,Topic Domain,Waste Gas Scavenging and Low-Flow Techniques,"Scavenging system components, occupational exposure limits, and environmental considerations.",
1.2.2,Branch,Physiologic Monitoring and Waveform Interpretation,"Standard ASA monitors including pulse oximetry, capnography, ECG, and non-invasive blood pressure, plus waveform analysis, artifact recognition, and alarm management.",
1.2.2-1,Topic Domain,Pulse Oximetry Technology and Limitations,"Principles of spectrophotometric oxygen saturation measurement, probe placement, motion artifact, and conditions affecting accuracy.",
1.2.2-2,Topic Domain,Capnography and Waveform Analysis,"End-tidal CO2 measurement principles, normal and abnormal capnogram morphology, and clinical interpretation.",
1.2.2-3,Topic Domain,Electrocardiographic Monitoring,"Lead placement, rhythm recognition, ST-segment monitoring, and artifact identification during anesthesia.",
1.2.2-4,Topic Domain,Non-Invasive Blood Pressure Monitoring,"Oscillometric measurement principles, cuff sizing, measurement intervals, and sources of error.",
1.2.2-5,Topic Domain,Temperature Monitoring Methods,"Core versus peripheral temperature measurement sites, probe types, and accuracy considerations.",
1.2.2-6,Topic Domain,Depth of Anesthesia Monitoring,"Processed EEG technologies including BIS, entropy, and patient state index.",
1.2.2-7,Topic Domain,Alarm Management and Clinical Integration,"Setting appropriate alarm limits, managing alarm fatigue, and prioritizing responses to multiple alarms.",
1.2.3,Branch,Advanced Hemodynamic and Neuromuscular Monitoring,"Invasive pressure monitoring, cardiac output measurement, quantitative neuromuscular blockade assessment, and advanced physiologic parameters.",
1.2.3-1,Topic Domain,Arterial Line Monitoring and Waveform Analysis,"Arterial catheter placement indications, transducer setup, zeroing and leveling, and waveform interpretation.",
1.2.3-2,Topic Domain,Central Venous Pressure Monitoring,"Central venous catheter placement for pressure monitoring, waveform components, and clinical interpretation.",
1.2.3-3,Topic Domain,Cardiac Output Monitoring Technologies,"Thermodilution, pulse contour analysis, esophageal Doppler, and non-invasive cardiac output methods.",
1.2.3-4,Topic Domain,Dynamic Fluid Responsiveness Parameters,"Stroke volume variation, pulse pressure variation, and passive leg raise testing.",
1.2.3-5,Topic Domain,Quantitative Neuromuscular Monitoring,"Train-of-four monitoring, post-tetanic count, acceleromyography and electromyography devices.",
1.2.3-6,Topic Domain,Transesophageal Echocardiography Basics,"Basic TEE probe insertion, standard views, and fundamental assessments for the non-cardiologist.",
1.2.4,Branch,Airway Management Equipment,"Direct and video laryngoscopes, supraglottic airways, endotracheal tubes, difficult airway adjuncts, and rescue devices.",
1.2.4-1,Topic Domain,Direct Laryngoscopy Equipment,"Macintosh and Miller blade designs, handle types, sizing considerations, and optimization techniques.",
1.2.4-2,Topic Domain,Video Laryngoscopy Systems,"Channeled versus non-channeled video laryngoscopes, device-specific techniques, and clinical selection.",
1.2.4-3,Topic Domain,Supraglottic Airway Devices,"LMA designs (classic, ProSeal, Supreme, i-gel), sizing, insertion techniques, and clinical applications.",
1.2.4-4,Topic Domain,Endotracheal Tubes and Specialty Airways,"Standard ETT design, cuff management, sizing for adults and children, and specialty tubes.",
1.2.4-5,Topic Domain,Difficult Airway Adjuncts and Rescue Devices,"Bougies, stylets, airway exchange catheters, and optical stylets.",
1.2.4-6,Topic Domain,Flexible Bronchoscopy Equipment,"Fiberoptic and video bronchoscope operation, setup, and maintenance.",
1.2.5,Branch,Point-of-Care Diagnostic Technology,"Bedside ultrasound (POCUS), blood gas analyzers, coagulation testing, glucose monitoring, and rapid diagnostic devices.",
1.2.5-1,Topic Domain,Point-of-Care Ultrasound Fundamentals,"Basic ultrasound physics for clinical use, probe selection, image optimization, and machine operation.",
1.2.5-2,Topic Domain,Arterial Blood Gas Analysis,"Blood gas analyzer operation, sample handling, and result interpretation.",
1.2.5-3,Topic Domain,Viscoelastic Coagulation Testing,"TEG and ROTEM technology, test parameters, and result interpretation.",
1.2.5-4,Topic Domain,Point-of-Care Hemoglobin and Glucose Monitoring,"Non-invasive and minimally invasive hemoglobin measurement devices and glucose meters.",
1.2.5-5,Topic Domain,Focused Cardiac and Pulmonary Ultrasound,"Basic transthoracic cardiac views, lung ultrasound for pneumothorax and pulmonary edema, and IVC assessment.",
1.3,Sub-Pillar,Perioperative Care and Anesthesia Techniques,"The continuum of patient care from preoperative assessment through intraoperative management to postoperative recovery, encompassing all anesthesia delivery methods and modalities.",
1.3.1,Branch,Preoperative Assessment and Optimization,"Comprehensive patient evaluation, risk stratification, NPO guidelines, premedication strategies, and perioperative optimization.",
1.3.1-1,Topic Domain,Preanesthetic History and Physical Examination,"Systematic approach to obtaining relevant medical, surgical, anesthetic, and social history.",
1.3.1-2,Topic Domain,Perioperative Risk Stratification,"ASA physical status classification, cardiac risk indices (RCRI, NSQIP), pulmonary risk assessment, and frailty screening.",
1.3.1-3,Topic Domain,Preoperative Testing and Laboratory Evaluation,"Evidence-based indications for ECG, chest radiography, laboratory studies, and specialized testing.",
1.3.1-4,Topic Domain,NPO Guidelines and Aspiration Risk,"Current fasting guidelines for solids, liquids, and specific populations.",
1.3.1-5,Topic Domain,Premedication Strategies,"Anxiolysis, aspiration prophylaxis, continuation or discontinuation of chronic medications, and prophylactic antibiotics.",
1.3.1-6,Topic Domain,Perioperative Optimization and Prehabilitation,"Optimizing chronic conditions before surgery including diabetes, hypertension, anemia, and nutritional status.",
1.3.2,Branch,Airway Management Techniques,"Airway assessment, basic and advanced airway techniques, difficult airway algorithms, and extubation strategies.",
1.3.2-1,Topic Domain,Airway Assessment and Difficult Airway Prediction,"Systematic airway examination, predictive indices, and recognition of conditions associated with difficult mask ventilation or intubation.",
1.3.2-2,Topic Domain,Basic Airway Maneuvers and Mask Ventilation,"Head positioning, jaw thrust, chin lift, oral and nasal airway insertion, and two-handed mask ventilation techniques.",
1.3.2-3,Topic Domain,Direct and Video Laryngoscopy Techniques,"Positioning, blade insertion, laryngeal exposure optimization, and tube delivery for direct laryngoscopy.",
1.3.2-4,Topic Domain,Supraglottic Airway Placement and Management,"Insertion techniques for various supraglottic devices, confirming adequate placement, troubleshooting poor seal.",
1.3.2-5,Topic Domain,Difficult Airway Algorithm Application,"ASA Difficult Airway Algorithm implementation, decision-making at key branch points, transitioning between techniques.",
1.3.2-6,Topic Domain,Awake Intubation Techniques,"Patient selection, topicalization methods, sedation strategies, and flexible bronchoscopic intubation technique.",
1.3.2-7,Topic Domain,Extubation Planning and Techniques,"Assessing extubation readiness, high-risk extubation strategies, use of airway exchange catheters, and managing failed extubation.",
1.3.3,Branch,General Anesthesia Delivery,"Induction techniques, maintenance strategies (inhalational, TIVA, balanced), depth of anesthesia management, and emergence.",
1.3.3-1,Topic Domain,Intravenous Induction Techniques,"Standard IV induction, dose modifications for patient factors, co-induction strategies, and managing hemodynamic responses.",
1.3.3-2,Topic Domain,Inhalational Induction and Maintenance,"Sevoflurane induction technique for adults and children, titrating volatile agents for maintenance, and understanding MAC-based dosing.",
1.3.3-3,Topic Domain,Total Intravenous Anesthesia (TIVA),"Propofol and remifentanil-based TIVA, target-controlled infusion concepts, manual infusion schemes, and clinical indications.",
1.3.3-4,Topic Domain,Rapid Sequence Induction and Intubation,"Indications, preparation, preoxygenation optimization, drug selection, cricoid pressure application, and managing failed RSI.",
1.3.3-5,Topic Domain,Emergence and Awakening Management,"Timing anesthetic offset, preventing emergence delirium and agitation, smooth awakening techniques, and criteria for safe extubation.",
1.3.3-6,Topic Domain,Anesthetic Planning and Case Management,"Developing comprehensive anesthetic plans integrating patient factors, surgical requirements, and recovery goals.",
1.3.4,Branch,Regional Anesthesia and Acute Pain Management,"Neuraxial techniques, peripheral nerve blocks, multimodal analgesia strategies, and ERAS protocol integration.",
1.3.4-1,Topic Domain,Spinal Anesthesia Technique,"Patient selection, positioning, landmark and ultrasound-guided needle placement, local anesthetic selection and dosing.",
1.3.4-2,Topic Domain,Epidural Anesthesia and Analgesia,"Epidural catheter placement technique, test dosing, local anesthetic and adjunct selection, managing patchy or failed blocks.",
1.3.4-3,Topic Domain,Upper Extremity Peripheral Nerve Blocks,"Ultrasound-guided interscalene, supraclavicular, infraclavicular, and axillary brachial plexus blocks.",
1.3.4-4,Topic Domain,Lower Extremity Peripheral Nerve Blocks,"Femoral, adductor canal, popliteal sciatic, and ankle blocks.",
1.3.4-5,Topic Domain,Truncal and Fascial Plane Blocks,"TAP blocks, quadratus lumborum blocks, erector spinae plane blocks, PECS blocks, and serratus anterior plane blocks.",
1.3.4-6,Topic Domain,Continuous Catheter Techniques,"Perineural catheter placement for prolonged analgesia, infusion management, patient-controlled regional analgesia.",
1.3.4-7,Topic Domain,Multimodal Analgesia and Opioid-Sparing Strategies,"Combining acetaminophen, NSAIDs, gabapentinoids, ketamine, dexmedetomidine, and regional techniques.",
1.3.4-8,Topic Domain,Enhanced Recovery Protocol Integration,"ERAS pathway components including preoperative education, carbohydrate loading, multimodal analgesia, goal-directed fluid therapy.",
1.3.5,Branch,Sedation and Monitored Anesthesia Care,"MAC techniques, procedural sedation, the sedation continuum, and patient selection for non-general anesthesia approaches.",
1.3.5-1,Topic Domain,Sedation Continuum and Depth Assessment,"Minimal, moderate, and deep sedation definitions and clinical characteristics.",
1.3.5-2,Topic Domain,Monitored Anesthesia Care Technique,"MAC indications, drug selection, titration strategies, and supplemental oxygen delivery.",
1.3.5-3,Topic Domain,Procedural Sedation for Specific Settings,"Sedation techniques for endoscopy, interventional radiology, cardiac catheterization, and other NORA environments.",
1.3.5-4,Topic Domain,Patient Selection for Non-General Anesthesia,"Evaluating patient suitability for MAC or regional anesthesia, identifying contraindications.",
1.3.5-5,Topic Domain,Managing Sedation Complications,"Recognizing and managing oversedation, airway obstruction, hypoxemia, and paradoxical reactions during sedation.",
1.3.6,Branch,Intraoperative Physiologic Management,"Hemodynamic optimization, ventilation strategies, fluid and blood product therapy, temperature management, and surgical positioning considerations.",
1.3.6-1,Topic Domain,Hemodynamic Goals and Vasoactive Therapy,"Target blood pressure and cardiac output goals, vasopressor and inotrope selection and dosing.",
1.3.6-2,Topic Domain,Ventilation Strategies and Lung Protection,"Intraoperative lung-protective ventilation including low tidal volumes, appropriate PEEP, and recruitment maneuvers.",
1.3.6-3,Topic Domain,Fluid Management and Resuscitation,"Crystalloid versus colloid selection, goal-directed fluid therapy using dynamic parameters.",
1.3.6-4,Topic Domain,Blood Product Therapy and Massive Transfusion,"Transfusion triggers, component therapy ratios, massive transfusion protocol activation and management.",
1.3.6-5,Topic Domain,Temperature Management and Normothermia,"Mechanisms of perioperative hypothermia, active and passive warming strategies, temperature monitoring sites.",
1.3.6-6,Topic Domain,Surgical Positioning and Associated Risks,"Physiologic effects of supine, lateral, prone, lithotomy, and Trendelenburg positions.",
1.3.6-7,Topic Domain,Intraoperative Glycemic Control,"Target glucose ranges, insulin infusion protocols, and managing diabetic and non-diabetic hyperglycemia.",
1.3.7,Branch,Postoperative Care and PACU Management,"Emergence management, PONV prophylaxis and treatment, postoperative pain control, discharge criteria, and handoff communication.",
1.3.7-1,Topic Domain,PACU Admission and Monitoring Standards,"Transfer of care protocols, initial PACU assessment, monitoring requirements, and observation intervals.",
1.3.7-2,Topic Domain,Postoperative Nausea and Vomiting Management,"PONV risk stratification, multimodal prophylaxis regimens, and rescue antiemetic therapy.",
1.3.7-3,Topic Domain,Postoperative Pain Assessment and Treatment,"Pain assessment tools, IV opioid titration, regional technique management, and transition to oral analgesics.",
1.3.7-4,Topic Domain,Discharge Criteria and Fast-Track Recovery,"Modified Aldrete scores, phase I and phase II recovery criteria, same-day discharge requirements.",
1.3.7-5,Topic Domain,Postoperative Handoff Communication,"Structured handoff frameworks (I-PASS, SBAR), essential information elements.",
1.3.7-6,Topic Domain,Recognition and Management of PACU Complications,"Managing postoperative respiratory depression, emergence delirium, shivering, hypotension, bleeding, and arrhythmias.",
1.3.8,Branch,Patient Safety and Crisis Management,"Emergency protocols, ACLS integration, malignant hyperthermia, local anesthetic systemic toxicity (LAST), anaphylaxis, and medication safety practices.",
1.3.8-1,Topic Domain,Malignant Hyperthermia Recognition and Treatment,"Early clinical signs, triggering agents, differential diagnosis, and MHAUS treatment protocol including dantrolene dosing.",
1.3.8-2,Topic Domain,Local Anesthetic Systemic Toxicity (LAST) Protocol,"Risk factors, prodromal symptoms, cardiovascular and CNS manifestations, and ASRA LAST treatment algorithm.",
1.3.8-3,Topic Domain,Anaphylaxis Recognition and Management,"Common perioperative triggers, clinical presentation across organ systems, and immediate treatment with epinephrine.",
1.3.8-4,Topic Domain,Perioperative Cardiac Arrest and ACLS,"Adapting ACLS algorithms to the OR environment, managing anesthesia-specific causes (4 Hs and 4 Ts).",
1.3.8-5,Topic Domain,Medication Safety and Error Prevention,"High-alert medications, look-alike/sound-alike drug pairs, syringe labeling standards.",
1.3.8-6,Topic Domain,Airway Fire and OR Fire Response,"Fire triangle in the surgical environment, prevention strategies during airway and laser surgery.",
1.3.8-7,Topic Domain,Intraoperative Awareness Prevention and Management,"Risk factors for awareness, monitoring strategies including processed EEG, and management when awareness is suspected.",
1.3.8-8,Topic Domain,Crisis Resource Management and Team Communication,"CRM principles including leadership, communication, situational awareness, and workload distribution.",
1.4,Sub-Pillar,Specialty Anesthesia and Special Populations,"Population-specific and procedure-specific anesthesia care requiring specialized knowledge beyond general principles.",
1.4.1,Branch,Pediatric Anesthesia,"Anesthesia care for neonates, infants, children, and adolescents including developmental pharmacology, weight-based dosing, pediatric airway management.",
1.4.1-1,Topic Domain,Neonatal Anesthesia Considerations,"Physiologic immaturity of organ systems, thermoregulation challenges, glucose management, and pharmacokinetic differences in neonates.",
1.4.1-2,Topic Domain,Infant and Toddler Anesthesia,"Developmental changes affecting anesthetic management in the first years of life.",
1.4.1-3,Topic Domain,Pediatric Airway Management,"Anatomic differences of the pediatric airway, equipment sizing, uncuffed versus cuffed ETT selection.",
1.4.1-4,Topic Domain,Weight-Based Pharmacology and Dosing,"Developmental pharmacology affecting drug distribution, metabolism, and effect.",
1.4.1-5,Topic Domain,Pediatric Fluid and Blood Management,"Maintenance fluid calculations, allowable blood loss determination, and transfusion thresholds in children.",
1.4.1-6,Topic Domain,Congenital Heart Disease Anesthesia,"Anesthetic management of children with repaired and unrepaired congenital heart lesions.",
1.4.1-7,Topic Domain,Pediatric Regional Anesthesia,"Caudal epidural technique, peripheral nerve blocks in children, and local anesthetic dosing considerations.",
1.4.1-8,Topic Domain,Emergence Delirium and Pediatric Pain Management,"Risk factors, prevention, and treatment of emergence delirium.",
1.4.2,Branch,Obstetric Anesthesia,"Labor analgesia, cesarean delivery anesthesia, high-risk obstetric management, and maternal-fetal physiologic considerations.",
1.4.2-1,Topic Domain,Maternal Physiologic Changes of Pregnancy,"Cardiovascular, respiratory, gastrointestinal, and hematologic adaptations of pregnancy.",
1.4.2-2,Topic Domain,Labor Epidural Analgesia,"Timing, technique, drug selection, and maintenance of labor epidural analgesia.",
1.4.2-3,Topic Domain,Cesarean Delivery Anesthesia,"Spinal, epidural, and combined spinal-epidural techniques for cesarean section.",
1.4.2-4,Topic Domain,High-Risk Obstetric Anesthesia,"Anesthetic management of preeclampsia, placenta accreta spectrum, cardiac disease in pregnancy, and morbid obesity.",
1.4.2-5,Topic Domain,Obstetric Hemorrhage Management,"Recognition and management of postpartum hemorrhage, uterotonic medications, massive transfusion in obstetrics.",
1.4.2-6,Topic Domain,Fetal Considerations and Neonatal Resuscitation,"Uteroplacental circulation, fetal heart rate interpretation, drug transfer across the placenta.",
1.4.2-7,Topic Domain,Non-Obstetric Surgery During Pregnancy,"Anesthetic considerations for pregnant patients undergoing non-obstetric surgery.",
1.4.2-8,Topic Domain,Obstetric Emergencies and Crisis Management,"Emergency cesarean delivery, maternal cardiac arrest, amniotic fluid embolism, and umbilical cord prolapse.",
1.4.3,Branch,Cardiac Vascular and Thoracic Anesthesia,"Anesthesia for cardiac surgery, major vascular procedures, and thoracic surgery including one-lung ventilation and cardiopulmonary bypass.",
1.4.3-1,Topic Domain,Cardiopulmonary Bypass Principles,"CPB circuit components, anticoagulation management, myocardial protection, and physiologic effects of bypass.",
1.4.3-2,Topic Domain,Anesthesia for Coronary Artery Surgery,"Hemodynamic goals for CABG, managing myocardial ischemia, off-pump considerations.",
1.4.3-3,Topic Domain,Valvular Heart Disease Anesthesia,"Hemodynamic management for stenotic and regurgitant lesions of aortic, mitral, and tricuspid valves.",
1.4.3-4,Topic Domain,Thoracic Surgery and One-Lung Ventilation,"Double-lumen tube placement and confirmation, bronchial blocker alternatives, and physiologic management during one-lung ventilation.",
1.4.3-5,Topic Domain,Aortic Surgery Anesthesia,"Anesthetic management for ascending, arch, and descending thoracic aortic surgery.",
1.4.3-6,Topic Domain,Peripheral Vascular Surgery Considerations,"Anesthetic approach to carotid endarterectomy, abdominal aortic aneurysm repair, and lower extremity revascularization.",
1.4.3-7,Topic Domain,Advanced Cardiac Monitoring and TEE,"Intraoperative TEE for cardiac surgery, pulmonary artery catheter interpretation, and real-time hemodynamic assessment.",
1.4.3-8,Topic Domain,Cardiac ERAS and Fast-Track Recovery,"Enhanced recovery protocols for cardiac surgery including early extubation, multimodal analgesia, and goal-directed fluid therapy.",
1.4.4,Branch,Neuroanesthesia,"Anesthesia for craniotomy, spine surgery, and neurointerventional procedures including cerebral physiology and intracranial pressure management.",
1.4.4-1,Topic Domain,Cerebral Physiology and Neuroprotection,"Cerebral blood flow regulation, autoregulation, intracranial pressure dynamics, and the effects of anesthetic agents on cerebral metabolism.",
1.4.4-2,Topic Domain,Anesthesia for Craniotomy,"Anesthetic management for supratentorial and infratentorial procedures, brain tumor resection, and intracranial aneurysm clipping.",
1.4.4-3,Topic Domain,Spine Surgery Anesthesia,"Anesthetic considerations for cervical, thoracic, and lumbar spine surgery.",
1.4.4-4,Topic Domain,Neurointerventional Anesthesia,"Anesthesia for endovascular coiling, thrombectomy, and other neurointerventional procedures.",
1.4.4-5,Topic Domain,Neurophysiologic Monitoring Integration,"Anesthetic effects on SSEPs, MEPs, and EEG.",
1.4.4-6,Topic Domain,Awake Craniotomy and Functional Neurosurgery,"Patient selection, sedation techniques, and managing the awake-asleep-awake approach.",
1.4.5,Branch,Geriatric Trauma and High-Acuity Patient Care,"Anesthesia for elderly patients, trauma resuscitation, and management of critically ill or medically complex patients.",
1.4.5-1,Topic Domain,Geriatric Physiologic Changes and Pharmacology,"Age-related changes in cardiovascular, respiratory, renal, and hepatic function affecting anesthetic management.",
1.4.5-2,Topic Domain,Perioperative Cognitive Dysfunction and Delirium,"Risk factors for postoperative delirium and cognitive dysfunction, prevention strategies.",
1.4.5-3,Topic Domain,Trauma Resuscitation and Damage Control Anesthesia,"Anesthetic management of the trauma patient including permissive hypotension, massive transfusion, and damage control surgery principles.",
1.4.5-4,Topic Domain,Burn Patient Anesthesia,"Pathophysiology of burn injury, airway considerations, fluid resuscitation, and pharmacokinetic changes.",
1.4.5-5,Topic Domain,Sepsis and Critical Illness Anesthesia,"Anesthetic considerations for septic patients, hemodynamic optimization, and adrenal insufficiency.",
1.4.5-6,Topic Domain,Organ Transplant Anesthesia,"Anesthetic management for liver, kidney, and other solid organ transplantation.",
1.4.5-7,Topic Domain,Bariatric Surgery Anesthesia,"Physiologic changes of morbid obesity, airway management challenges, dosing considerations, and positioning.",
1.4.6,Branch,Ambulatory Surgery and Non-Operating Room Anesthesia,"Anesthesia in ambulatory surgery centers, office-based settings, and NORA locations.",
1.4.6-1,Topic Domain,Ambulatory Surgery Patient Selection and Optimization,"Criteria for same-day surgery eligibility, medical optimization requirements, and social factors affecting safe discharge.",
1.4.6-2,Topic Domain,Office-Based Anesthesia Safety,"Equipment requirements, emergency preparedness, patient selection, and regulatory considerations for office-based anesthesia.",
1.4.6-3,Topic Domain,Endoscopy Suite Anesthesia,"Anesthetic considerations for upper and lower GI endoscopy, ERCP, and advanced endoscopic procedures.",
1.4.6-4,Topic Domain,Interventional Radiology and Cardiac Catheterization,"Anesthetic management in IR suites and cardiac catheterization labs.",
1.4.6-5,Topic Domain,MRI and Radiation Therapy Anesthesia,"MRI-compatible equipment, ferromagnetic safety, and remote monitoring challenges.",
1.4.6-6,Topic Domain,Electroconvulsive Therapy and Procedural Anesthesia,"Anesthetic management for ECT including seizure optimization and hemodynamic control."
